parkinggeohash,avglatitude,avglongitude,city,county,state,country,iso_3166_2,avgtimetopark,avgtimetoparkratio,totalsearching,percentsearching,avguniquegeohashes,avgtotalgeohashes,circlingdistribution,hourlydistribution,percentcar,percentmpv,percentldt,percentmdt,percenthdt,percentother,updatedate,version
dphgur9,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,2,5,0,4,7,"{""dphgur6"":0.1925, ""dphgurb"":0.1083, ""dphgur8"":0.0662, ""dphgurd"":0.1253, ""dphgur3"":0.0401, ""dphgurf"":0.016, ""dphgur9"":0.231, ""dphgurc"":0.2206}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": 0.25, ""12"": null, ""13"": 0.25, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": 0.25, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr3f,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,8,1,6,0,6,9,"{""dphgr3d"":0.0332, ""dphgr3c"":0.1034, ""dphgr3f"":0.1675, ""dphgr61"":0.0906, ""dphgr3e"":0.0906, ""dphgr39"":0.2496, ""dphgr65"":0.105, ""dphgr64"":0.0421, ""dphgr3g"":0.1179}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1667, ""09"": null, ""10"": 0.1667, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": 0.1667, ""15"": null, ""16"": 0.1667, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.1667, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgqwz,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,13,0,4,7,"{""dphgqwy"":0.083, ""dphgqyb"":0.3437, ""dphgqwz"":0.2387, ""dphgqxp"":0.0686, ""dphgqz0"":0.1309, ""dphgqy8"":0.1351}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1875, ""11"": 0.25, ""12"": null, ""13"": 0.1875, ""14"": null, ""15"": null, ""16"": 0.1875, ""17"": null, ""18"": 0.1875, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphup9u,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,21,0,4,6,"{""dphup9e"":0.0556, ""dphup9s"":0.0398, ""dphup9g"":0.703, ""dphup9t"":0.0676, ""dphup9u"":0.1341}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.0909, ""10"": 0.0909, ""11"": null, ""12"": 0.0909, ""13"": 0.0909, ""14"": 0.0909, ""15"": null, ""16"": 0.0909, ""17"": 0.0909, ""18"": 0.0909, ""19"": null, ""20"": null, ""21"": 0.0909, ""22"": 0.0909, ""23"": 0.0909}",0,0,0,0,0,0,2018-05-02,1
dphgr5y,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,3,6,0,5,8,"{""dphgrhp"":0.0867, ""dphgrhj"":0.4439, ""dphgr5z"":0.0233, ""dphgr5w"":0.0648, ""dphgr5t"":0.0409, ""dphgr5v"":0.0634, ""dphgr5x"":0.1163, ""dphgrhn"":0.0793, ""dphgr5y"":0.0815}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.25, ""07"": null, ""08"": 0.25, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr6k,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,7,1,9,0,5,10,"{""dphgr6t"":0.0598, ""dphgr6h"":0.164, ""dphgr67"":0.1859, ""dphgr6e"":0.0967, ""dphgr6s"":0.1235, ""dphgr6m"":0.051, ""dphgr6k"":0.1909, ""dphgr65"":0.1281}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0.1667, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrk1,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,13,0,5,8,"{""dphgr7c"":0.0814, ""dphgrk0"":0.1888, ""dphgrk3"":0.0922, ""dphgr7b"":0.1508, ""dphgrk4"":0.1058, ""dphgr7f"":0.1486, ""dphgrk1"":0.1904, ""dphgrk6"":0.042}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.125, ""08"": 0.125, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.125, ""13"": 0.125, ""14"": null, ""15"": 0.125, ""16"": 0.125, ""17"": 0.125, ""18"": 0.125, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgku5,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,20,0,4,6,"{""dphgkuh"":0.4137, ""dphgku7"":0.03, ""dphgku4"":0.0927, ""dphgkuk"":0.1543, ""dphgku5"":0.2912, ""dphgkgu"":0.0181}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1111, ""09"": 0.1111, ""10"": 0.1111, ""11"": 0.1111, ""12"": 0.1111, ""13"": 0.1111, ""14"": null, ""15"": 0.1111, ""16"": 0.1111, ""17"": null, ""18"": 0.1111, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpjh560,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,5,0,5,7,"{""dpjh53c"":0.1553, ""dpjh563"":0, ""dpjh562"":0.0253, ""dpjh53b"":0.161, ""dpjh54p"":0.1326, ""dpjh561"":0.1164, ""dpjh560"":0.2847, ""dpjh54r"":0.0331, ""dpjh51z"":0.0915}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.3333, ""13"": 0.3333, ""14"": 0.3333, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj58c6,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,5,0,4,7,"{""dpj58c9"":0.086, ""dpj58ce"":0.602, ""dpj58c1"":0.0269, ""dpj58c7"":0.044, ""dpj58c6"":0.123, ""dpj58cd"":0.0744, ""dpj58c5"":0.0143, ""dpj58c4"":0.0294}","{""00"": 0.2, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.2, ""13"": null, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.2, ""19"": null, ""20"": null, ""21"": 0.2, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr30,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,2,9,0,5,9,"{""dphgr1r"":0.0581, ""dphgr0z"":0.0987, ""dphgr30"":0.2601, ""dphgr32"":0.1383, ""dphgr2c"":0.0756, ""dphgr2b"":0.0439, ""dphgr33"":0.085, ""dphgr1p"":0.0904, ""dphgr31"":0.1497}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": 0.2, ""10"": 0.2, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrht,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,5,0,4,8,"{""dphgrhy"":0.1181, ""dphgrhv"":0.0747, ""dphgrhw"":0.1736, ""dphgrht"":0.3212, ""dphgrhu"":0.0868, ""dphgrhs"":0.1181, ""dphgrhm"":0, ""dphgrhq"":0.1076}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.25, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrk4,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,9,0,4,7,"{""dphgr7c"":0.1142, ""dphgr7f"":0.1101, ""dphgrk1"":0.2132, ""dphgr7g"":0.0836, ""dphgrk6"":0.0881, ""dphgrk4"":0.2539, ""dphgrk5"":0.1369}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.1667, ""13"": 0.1667, ""14"": 0.1667, ""15"": 0.1667, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj55ht,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,9,0,4,8,"{""dpj55hu"":0.0752, ""dpj55hv"":0.0361, ""dpj55hs"":0.2998, ""dpj55hk"":0.0653, ""dpj55ht"":0.1816, ""dpj55hw"":0.342}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.125, ""09"": 0.125, ""10"": null, ""11"": null, ""12"": 0.125, ""13"": 0.125, ""14"": 0.125, ""15"": 0.125, ""16"": 0.125, ""17"": null, ""18"": 0.125, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5c6b,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,9,0,5,8,"{""dpj5c4z"":0.1829, ""dpj5c69"":0.0495, ""dpj5c6b"":0.2026, ""dpj5c71"":0.1333, ""dpj5c4x"":0.0908, ""dpj5c6c"":0.049, ""dpj5c70"":0.1877, ""dpj5c68"":0.1041}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.2, ""18"": 0.2, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgzvj,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,11,0,4,7,"{""dphgzvn"":0.0615, ""dphgzvj"":0.131, ""dphgzuv"":0.0815, ""dphgzvh"":0.1051, ""dphgzuu"":0.1907, ""dphgzvq"":0.0236, ""dphgzuy"":0.1061, ""dphgzvm"":0.3005}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.125, ""10"": 0.125, ""11"": null, ""12"": 0.125, ""13"": 0.125, ""14"": 0.125, ""15"": 0.125, ""16"": 0.125, ""17"": 0.125, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrjr,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,14,0,5,9,"{""dphgrm2"":0.0916, ""dphgrjp"":0.1828, ""dphgrm0"":0.0876, ""dphgrjn"":0.0832, ""dphgrjr"":0.1701, ""dphgrjq"":0.1005, ""dphgrjx"":0.1668, ""dphgrjw"":0.1174}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.125, ""07"": 0.125, ""08"": 0.125, ""09"": 0.125, ""10"": 0.125, ""11"": null, ""12"": null, ""13"": null, ""14"": 0.125, ""15"": null, ""16"": 0.125, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": 0.125, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrnw,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,7,0,4,7,"{""dphgrnw"":0.1871, ""dphgrnq"":0.1509, ""dphgrnm"":0.0556, ""dphgrnt"":0.1835, ""dphgrny"":0.1198, ""dphgrnr"":0.0941, ""dphgrnx"":0.1469, ""dphgrnv"":0.062}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": 0.25, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5c4z,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,13,0,4,7,"{""dpj5c4y"":0.1385, ""dpj5c5p"":0.1411, ""dpj5c6b"":0.0733, ""dpj5c70"":0.1228, ""dpj5c4z"":0.1585, ""dpj5c4x"":0.0994, ""dpj5c4w"":0.1447, ""dpj5c68"":0.0674, ""dpj5c5n"":0.0543}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1, ""07"": 0.1, ""08"": 0.1, ""09"": 0.1, ""10"": 0.1, ""11"": null, ""12"": 0.1, ""13"": 0.1, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.1, ""19"": null, ""20"": 0.1, ""21"": 0.1, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphum20,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,14,0,4,7,"{""dphum20"":0.2187, ""dphujrb"":0.0937, ""dphum22"":0.1295, ""dphujpz"":0.197, ""dphum0p"":0.1472, ""dphum21"":0.0784, ""dphum0r"":0.1355}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.125, ""08"": 0.125, ""09"": 0.125, ""10"": 0.125, ""11"": 0.125, ""12"": null, ""13"": null, ""14"": null, ""15"": 0.125, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.125, ""20"": 0.125, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5fmt,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,7,0,4,6,"{""dpj5fmt"":0.1801, ""dpj5fmv"":0.4411, ""dpj5fmm"":0.0158, ""dpj5fms"":0.155, ""dpj5fmw"":0.0449, ""dpj5fmk"":0.1631}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.25, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.25, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgqyb,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,9,0,4,7,"{""dphgqyc"":0.1531, ""dphgqxp"":0.0469, ""dphgqz1"":0.0288, ""dphgqwz"":0.1323, ""dphgqy9"":0.0803, ""dphgqy8"":0.1111, ""dphgqyb"":0.3529, ""dphgqz0"":0.0947}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": 0.2, ""17"": null, ""18"": 0.2, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgqxp,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,9,0,5,7,"{""dphgqwy"":0.1034, ""dphgqxp"":0.1697, ""dphgqz2"":0.0194, ""dphgqxq"":0.0283, ""dphgqyb"":0.1375, ""dphgqxr"":0.0488, ""dphgqwz"":0.112, ""dphgqz0"":0.0578, ""dphgqxn"":0.3232}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": 0.1667, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgwx9,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,9,0,4,7,"{""dphgwxf"":0.0861, ""dphgwx9"":0.5722, ""dphgwx6"":0.0468, ""dphgwx3"":0.0775, ""dphgwxc"":0.1192, ""dphgwxd"":0.0983}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.125, ""06"": null, ""07"": null, ""08"": 0.125, ""09"": 0.125, ""10"": 0.125, ""11"": 0.125, ""12"": 0.125, ""13"": 0.125, ""14"": 0.125, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr32,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,88,0,6,9,"{""dphgr33"":0.1355, ""dphgr32"":0.2683, ""dphgr39"":0.1363, ""dphgr38"":0.1477, ""dphgr1p"":0.0569, ""dphgr1r"":0.0812, ""dphgr1x"":0.0516, ""dphgr31"":0.0206, ""dphgr30"":0.1018}","{""00"": null, ""01"": 0.0654, ""02"": null, ""03"": 0.0654, ""04"": 0.0654, ""05"": null, ""06"": null, ""07"": 0.0654, ""08"": 0.0841, ""09"": 0.0654, ""10"": 0.0654, ""11"": 0.0654, ""12"": 0.0654, ""13"": 0.0654, ""14"": 0.0654, ""15"": 0.0654, ""16"": 0.0654, ""17"": 0.0654, ""18"": null, ""19"": 0.0654, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr6b,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,15,0,4,7,"{""dphgr71"":0.08, ""dphgr70"":0.0796, ""dphgr6b"":0.1352, ""dphgr4x"":0.2054, ""dphgr5p"":0.1868, ""dphgr69"":0.0477, ""dphgr68"":0.0912, ""dphgr4z"":0.1122, ""dphgr6c"":0.0619}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.25, ""06"": null, ""07"": 0.125, ""08"": null, ""09"": 0.125, ""10"": 0.125, ""11"": 0.125, ""12"": null, ""13"": 0.125, ""14"": 0.125, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphujhp,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,27,0,4,7,"{""dphujhr"":0.0766, ""dphujhp"":0.1158, ""dphuj5z"":0.1221, ""dphujk2"":0.0756, ""dphujhq"":0.1754, ""dphuj5y"":0.1903, ""dphujk0"":0.0698, ""dphuj7b"":0.1419, ""dphujhn"":0.0325}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1111, ""10"": 0.1111, ""11"": 0.1111, ""12"": 0.1111, ""13"": 0.1111, ""14"": 0.1111, ""15"": 0.1111, ""16"": 0.1111, ""17"": 0.1111, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr63,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,8,1,5,0,5,7,"{""dphgr68"":0.0718, ""dphgr69"":0.148, ""dphgr6d"":0.0757, ""dphgr61"":0.1267, ""dphgr62"":0.0204, ""dphgr64"":0.1456, ""dphgr63"":0.1625, ""dphgr60"":0.2493}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.2, ""07"": 0.2, ""08"": null, ""09"": 0.2, ""10"": null, ""11"": null, ""12"": 0.2, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.2}",0,0,0,0,0,0,2018-05-02,1
dpj555u,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,33,0,4,6,"{""dpj55h5"":0.27, ""dpj555u"":0.2075, ""dpj555s"":0.1189, ""dpj555t"":0.0237, ""dpj555v"":0.1245, ""dpj55hh"":0.1559, ""dpj555g"":0.0995}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.0833, ""06"": 0.0833, ""07"": null, ""08"": 0.0833, ""09"": 0.0833, ""10"": 0.0833, ""11"": 0.0833, ""12"": 0.0833, ""13"": 0.0833, ""14"": 0.0833, ""15"": 0.0833, ""16"": null, ""17"": 0.0833, ""18"": null, ""19"": 0.0833, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrkh,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,7,1,5,0,5,8,"{""dphgrk5"":0.1799, ""dphgr7v"":0.1588, ""dphgr7u"":0.1586, ""dphgrk7"":0.0603, ""dphgrkh"":0.3213, ""dphgrkj"":0.0591, ""dphgr7g"":0.062}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": 0.25, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr6r,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,14,0,5,8,"{""dphgr6w"":0.0886, ""dphgr6n"":0.1055, ""dphgrd2"":0.2109, ""dphgr6x"":0.0985, ""dphgrd8"":0.1201, ""dphgrd0"":0.0565, ""dphgr6q"":0.1009, ""dphgr6r"":0.1767, ""dphgr6p"":0.0422}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1071, ""06"": 0.1071, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1429, ""11"": 0.1071, ""12"": 0.1071, ""13"": 0.1071, ""14"": null, ""15"": 0.1071, ""16"": null, ""17"": 0.1071, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.1071}",0,0,0,0,0,0,2018-05-02,1
dphgr67,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,18,0,5,7,"{""dphgr67"":0.1221, ""dphgr6d"":0.0666, ""dphgr6e"":0.0879, ""dphgr65"":0.1351, ""dphgr6k"":0.0924, ""dphgr64"":0.0291, ""dphgr6s"":0.1273, ""dphgr6h"":0.1254, ""dphgr66"":0.2141}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.125, ""06"": null, ""07"": 0.125, ""08"": 0.125, ""09"": 0.125, ""10"": 0.125, ""11"": 0.125, ""12"": 0.125, ""13"": 0.125, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr36,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,109,0,5,7,"{""dphgr36"":0.1366, ""dphgr39"":0.1108, ""dphgr3d"":0.1656, ""dphgr3e"":0.1328, ""dphgr34"":0.0803, ""dphgr31"":0.0865, ""dphgr35"":0.0587, ""dphgr37"":0.1379, ""dphgr33"":0.0908}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.0522, ""05"": 0.0522, ""06"": 0.0522, ""07"": 0.0522, ""08"": 0.0522, ""09"": 0.0522, ""10"": 0.0522, ""11"": 0.0551, ""12"": 0.0578, ""13"": 0.0522, ""14"": 0.0522, ""15"": 0.0522, ""16"": 0.0522, ""17"": 0.0522, ""18"": 0.0522, ""19"": null, ""20"": 0.0522, ""21"": 0.0522, ""22"": 0.0522, ""23"": 0.0522}",0,0,0,0,0,0,2018-05-02,1
dphgvez,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,5,0,4,7,"{""dphgvsp"":0.1519, ""dphgvey"":0.1223, ""dphgvez"":0.1645, ""dphgvu0"":0.1118, ""dphgvgb"":0.1603, ""dphgvg8"":0.226, ""dphgvex"":0.0633}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": 0.2, ""10"": null, ""11"": null, ""12"": 0.2, ""13"": 0.2, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgkn6,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,9,0,4,6,"{""dphgkn7"":0.087, ""dphgknd"":0.07, ""dphgkn6"":0.4983, ""dphgkn9"":0.132, ""dphgkn3"":0.2127}","{""00"": null, ""01"": 0.125, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.125, ""10"": null, ""11"": null, ""12"": 0.125, ""13"": 0.125, ""14"": null, ""15"": 0.125, ""16"": null, ""17"": 0.125, ""18"": 0.125, ""19"": 0.125, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr3d,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,48,0,5,8,"{""dphgr3c"":0.1088, ""dphgr3e"":0.1442, ""dphgr3g"":0.1652, ""dphgr36"":0.1442, ""dphgr39"":0.0765, ""dphgr3d"":0.1119, ""dphgr3f"":0.0536, ""dphgr37"":0.118, ""dphgr33"":0.0775}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.0667, ""05"": null, ""06"": 0.0667, ""07"": 0.0667, ""08"": 0.0667, ""09"": 0.0667, ""10"": 0.0667, ""11"": 0.0667, ""12"": 0.0667, ""13"": 0.0667, ""14"": 0.0667, ""15"": 0.0667, ""16"": 0.0667, ""17"": 0.0667, ""18"": 0.0667, ""19"": null, ""20"": null, ""21"": 0.0667, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
